2 18.9154 [18.53905678027907, 19.291743219720935]
3 59.443 [57.55527612499022, 61.330723875009774]
4 88.09 [85.71179557927867, 90.46820442072134]
5 115.268 [112.60094759874596, 117.93505240125404]
6 135.735 [133.01186524578992, 138.4581347542101]
7 160.609 [157.6433665073842, 163.57463349261582]
8 179.18 [176.16025988482002, 182.19974011518]
9 204.356 [201.01637017449252, 207.69562982550747]
10 215.937 [212.721825572651, 219.15217442734902]

11 234.185 [230.65619450700737, 237.71380549299263]
